lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
5949,347;5949,2872;0,2733;-0,0598;3787752819;915,5051;-3030,8065
5952,7184;5952,7176;0,4500;-0,0008;4889861011;321,1463;-55,5829
5956,6944;5956,6945;0,1513;0,0001;2845457408;643,5930;-13,6415
5963,2386;5963,2346;0,6495;-0,0040;3065455243;244,7852;-215,7991
5976,4391;5976,4491;0,7313;0,0100;2618214616;227,7708;483,5211
5976,7771;5976,7751;0,4211;-0,0020;4377248595;120,4236;-117,0391
5983,681;5983,6776;0,4755;-0,0034;4174943296;-2,3230;-186,6020
5984,8151;5984,8125;0,4664;-0,0026;3475741016;-433,9371;-146,5417
5987,0649;5987,0586;0,5070;-0,0063;3462680802;-339,5337;-334,4564
5997,6749;5997,7713;0,5527;0,0964;3298357949;-17,3596;4802,7688
5998,9385;5998,9992;0,5303;0,0607;3138477242;-808,2406;3016,2943
6003,0123;6003,0124;0,3583;0,0001;4327827615;344,7953;-10,2769
6005,5413;6005,5394;0,4322;-0,0019;4970002155;58,7846;-111,9065
6007,715;6007,6935;0,7930;-0,0215;2286695557;-34,0493;-1087,1069
6007,9601;6007,9554;0,5119;-0,0047;4421360795;175,6288;-251,5998
6012,2099;6012,2118;0,4195;0,0019;4937780096;178,9028;77,8574
6015,2443;6015,2394;0,5742;-0,0049;4862986675;52,3768;-258,7958
6018,2995;6018,3873;0,5890;0,0878;3204310029;-705,1042;4359,0656
6021,7912;6021,7908;0,2734;-0,0004;2429441356;-160,3891;-37,4803
6024,058;6024,0581;0,3792;0,0001;4043062482;258,6344;-10,8122
6027,0509;6027,0489;0,4431;-0,0020;4592566019;268,3873;-115,7685
6034,0355;6034,0273;0,8038;-0,0082;2341892219;516,0724;-424,7587
6056,0047;6056,0007;0,4808;-0,0040;4599974212;41,7653;-214,3168
6060,6243;6060,6173;0,6254;-0,0070;4061028283;318,1480;-360,6887
6062,8484;6062,8459;0,3410;-0,0025;4746390920;41,3780;-141,1497
6078,4911;6078,4898;0,4818;-0,0013;3971486846;81,7636;-81,7950
